Commong lines / Lines that are correct: 35
anesDoc1, carPat1HR, addItem
carDoc1, oncPat1nursingItem, addItem
carDoc1, oncPat1nursingItem, read
carDoc1, oncPat1oncItem, addItem
carDoc1, oncPat1oncItem, read
carDoc1, oncPat2HR, addItem
carDoc1, oncPat2HR, read
carDoc1, oncPat2noteItem, addItem
carDoc1, oncPat2noteItem, read
carDoc1, oncPat2nursingItem, addItem
carDoc1, oncPat2nursingItem, read
carDoc1, oncPat2oncItem, addItem
carDoc1, oncPat2oncItem, read
carDoc2, carPat1HR, addItem
carDoc2, carPat1HR, read
carDoc2, carPat1carItem, addItem
carDoc2, carPat1noteItem, addItem
carDoc2, carPat1noteItem, read
carDoc2, carPat1nursingItem, addItem
carDoc2, carPat1nursingItem, read
carDoc2, carPat2HR, read
carDoc2, carPat2carItem, addItem
carDoc2, carPat2noteItem, addItem
carDoc2, carPat2noteItem, read
carDoc2, carPat2nursingItem, addItem
carDoc2, carPat2nursingItem, read
carDoc2, oncPat1HR, addItem
carDoc2, oncPat1HR, read
carDoc2, oncPat1noteItem, addItem
carDoc2, oncPat1noteItem, read
carDoc2, oncPat1nursingItem, addItem
carDoc2, oncPat1nursingItem, read
carDoc2, oncPat1oncItem, addItem
carDoc2, oncPat1oncItem, read
carDoc2, oncPat2HR, addItem
carDoc2, oncPat2HR, read
carDoc2, oncPat2noteItem, addItem
carDoc2, oncPat2noteItem, read
carDoc2, oncPat2nursingItem, addItem
carDoc2, oncPat2nursingItem, read
carDoc2, oncPat2oncItem, addItem
carDoc2, oncPat2oncItem, read
carNurse1, carPat1HR, read
carNurse1, carPat1carItem, addItem
carNurse1, carPat1carItem, read
carNurse1, carPat1noteItem, addItem
carNurse1, carPat1noteItem, read
carNurse1, carPat1nursingItem, addItem
carNurse1, carPat2HR, read
carNurse1, carPat2carItem, addItem
carNurse1, carPat2carItem, read
carNurse1, carPat2noteItem, addItem
carNurse1, carPat2noteItem, read
carNurse1, carPat2nursingItem, addItem
carNurse1, carPat2nursingItem, read
carNurse1, oncPat1HR, addItem
carNurse1, oncPat1HR, read
carNurse1, oncPat1noteItem, addItem
carNurse1, oncPat1noteItem, read
carNurse1, oncPat1nursingItem, addItem
carNurse1, oncPat1nursingItem, read
carNurse1, oncPat1oncItem, addItem
carNurse1, oncPat1oncItem, read
carNurse1, oncPat2HR, addItem
carNurse1, oncPat2HR, read
carNurse1, oncPat2noteItem, addItem
carNurse1, oncPat2noteItem, read
carNurse1, oncPat2nursingItem, addItem
carNurse1, oncPat2nursingItem, read
carNurse1, oncPat2oncItem, addItem
carNurse1, oncPat2oncItem, read
carNurse2, carPat1HR, read
carNurse2, carPat1carItem, addItem
carNurse2, carPat1carItem, read
carNurse2, carPat1noteItem, addItem
carNurse2, carPat1noteItem, read
carNurse2, carPat1nursingItem, addItem
carNurse2, carPat1nursingItem, read
carNurse2, carPat2HR, read
carNurse2, carPat2carItem, addItem
carNurse2, carPat2carItem, read
carNurse2, carPat2noteItem, addItem
carNurse2, carPat2noteItem, read
carNurse2, carPat2nursingItem, addItem
carNurse2, oncPat1HR, addItem
carNurse2, oncPat1HR, read
carNurse2, oncPat1noteItem, addItem
carNurse2, oncPat1noteItem, read
carNurse2, oncPat1nursingItem, addItem
carNurse2, oncPat1nursingItem, read
carNurse2, oncPat1oncItem, addItem
carNurse2, oncPat1oncItem, read
carNurse2, oncPat2HR, addItem
carNurse2, oncPat2HR, read
carNurse2, oncPat2noteItem, addItem
carNurse2, oncPat2noteItem, read
carNurse2, oncPat2nursingItem, addItem
carNurse2, oncPat2nursingItem, read
carNurse2, oncPat2oncItem, addItem
carNurse2, oncPat2oncItem, read
carPat1, carPat1HR, addItem
carPat1, carPat1HR, read
carPat1, carPat1carItem, addItem
carPat1, carPat1carItem, read
carPat1, carPat1noteItem, addItem
carPat1, carPat1nursingItem, addItem
carPat1, carPat1nursingItem, read
carPat1, carPat2HR, addItem
carPat1, carPat2HR, read
carPat1, carPat2carItem, addItem
carPat1, carPat2carItem, read
carPat1, carPat2noteItem, addItem
carPat1, carPat2noteItem, read
carPat1, carPat2nursingItem, addItem
carPat1, carPat2nursingItem, read
carPat1, oncPat1HR, addItem
carPat1, oncPat1HR, read
carPat1, oncPat1noteItem, addItem
carPat1, oncPat1noteItem, read
carPat1, oncPat1nursingItem, addItem
carPat1, oncPat1nursingItem, read
carPat1, oncPat1oncItem, addItem
carPat1, oncPat1oncItem, read
carPat1, oncPat2HR, addItem
carPat1, oncPat2HR, read
carPat1, oncPat2noteItem, addItem
carPat1, oncPat2noteItem, read
carPat1, oncPat2nursingItem, addItem
carPat1, oncPat2nursingItem, read
carPat1, oncPat2oncItem, addItem
carPat1, oncPat2oncItem, read
carPat2, carPat1HR, addItem
carPat2, carPat1HR, read
carPat2, carPat1carItem, addItem
carPat2, carPat1carItem, read
carPat2, carPat1noteItem, addItem
carPat2, carPat1noteItem, read
carPat2, carPat1nursingItem, addItem
carPat2, carPat1nursingItem, read
carPat2, carPat2HR, addItem
carPat2, carPat2HR, read
carPat2, carPat2carItem, addItem
carPat2, carPat2carItem, read
carPat2, carPat2noteItem, addItem
carPat2, carPat2noteItem, read
carPat2, carPat2nursingItem, addItem
carPat2, carPat2nursingItem, read
carPat2, oncPat1HR, addItem
carPat2, oncPat1HR, read
carPat2, oncPat1noteItem, addItem
carPat2, oncPat1noteItem, read
carPat2, oncPat1nursingItem, addItem
carPat2, oncPat1nursingItem, read
carPat2, oncPat1oncItem, addItem
carPat2, oncPat1oncItem, read
carPat2, oncPat2HR, addItem
carPat2, oncPat2HR, read
carPat2, oncPat2noteItem, addItem
carPat2, oncPat2noteItem, read
carPat2, oncPat2nursingItem, addItem
carPat2, oncPat2nursingItem, read
carPat2, oncPat2oncItem, addItem
carPat2, oncPat2oncItem, read
doc1, carPat1HR, addItem
doc1, carPat1HR, read
doc1, carPat1carItem, addItem
doc1, carPat1carItem, read
doc1, carPat1noteItem, addItem
doc1, carPat1noteItem, read
doc1, carPat1nursingItem, addItem
doc1, carPat1nursingItem, read
doc1, carPat2HR, addItem
doc1, carPat2HR, read
doc1, carPat2carItem, addItem
doc1, carPat2carItem, read
doc1, carPat2noteItem, addItem
doc1, carPat2noteItem, read
doc1, carPat2nursingItem, addItem
doc1, carPat2nursingItem, read
doc1, oncPat1HR, addItem
doc1, oncPat1HR, read
doc1, oncPat1noteItem, addItem
doc1, oncPat1noteItem, read
doc1, oncPat1nursingItem, addItem
doc1, oncPat1nursingItem, read
doc1, oncPat1oncItem, addItem
doc1, oncPat1oncItem, read
doc1, oncPat2HR, addItem
doc1, oncPat2HR, read
doc1, oncPat2noteItem, addItem
doc1, oncPat2noteItem, read
doc1, oncPat2nursingItem, addItem
doc1, oncPat2nursingItem, read
doc1, oncPat2oncItem, addItem
doc2, carPat1HR, addItem
doc2, carPat1HR, read
doc2, carPat1carItem, addItem
doc2, carPat1carItem, read
doc2, carPat1noteItem, addItem
doc2, carPat1noteItem, read
doc2, carPat1nursingItem, addItem
doc2, carPat1nursingItem, read
doc2, carPat2HR, addItem
doc2, carPat2HR, read
doc2, carPat2carItem, addItem
doc2, carPat2noteItem, addItem
doc2, carPat2noteItem, read
doc2, carPat2nursingItem, addItem
doc2, carPat2nursingItem, read
doc2, oncPat1HR, addItem
doc2, oncPat1HR, read
doc2, oncPat1noteItem, addItem
doc2, oncPat1noteItem, read
doc2, oncPat1nursingItem, addItem
doc2, oncPat1nursingItem, read
doc2, oncPat1oncItem, addItem
doc2, oncPat1oncItem, read
doc2, oncPat2HR, addItem
doc2, oncPat2HR, read
doc2, oncPat2noteItem, addItem
doc2, oncPat2noteItem, read
doc2, oncPat2nursingItem, addItem
doc2, oncPat2nursingItem, read
doc2, oncPat2oncItem, addItem
doc2, oncPat2oncItem, read
oncAgent1, carPat1HR, addItem
oncAgent1, carPat1HR, read
oncAgent1, carPat1carItem, addItem
oncAgent1, carPat1carItem, read
oncAgent1, carPat1noteItem, addItem
oncAgent1, carPat1noteItem, read
oncAgent1, carPat1nursingItem, addItem
oncAgent1, carPat1nursingItem, read
oncAgent1, carPat2HR, addItem
oncAgent1, carPat2HR, read
oncAgent1, carPat2carItem, addItem
oncAgent1, carPat2carItem, read
oncAgent1, carPat2noteItem, addItem
oncAgent1, carPat2noteItem, read
oncAgent1, carPat2nursingItem, addItem
oncAgent1, carPat2nursingItem, read
oncAgent1, oncPat1HR, addItem
oncAgent1, oncPat1HR, read
oncAgent1, oncPat1noteItem, addItem
oncAgent1, oncPat1noteItem, read
oncAgent1, oncPat1nursingItem, addItem
oncAgent1, oncPat1nursingItem, read
oncAgent1, oncPat1oncItem, addItem
oncAgent1, oncPat1oncItem, read
oncAgent1, oncPat2HR, addItem
oncAgent1, oncPat2HR, read
oncAgent1, oncPat2noteItem, addItem
oncAgent1, oncPat2nursingItem, addItem
oncAgent1, oncPat2nursingItem, read
oncAgent1, oncPat2oncItem, addItem
oncAgent1, oncPat2oncItem, read
oncAgent2, carPat1HR, addItem
oncAgent2, carPat1HR, read
oncAgent2, carPat1carItem, addItem
oncAgent2, carPat1carItem, read
oncAgent2, carPat1noteItem, addItem
oncAgent2, carPat1noteItem, read
oncAgent2, carPat1nursingItem, addItem
oncAgent2, carPat1nursingItem, read
oncAgent2, carPat2HR, addItem
oncAgent2, carPat2HR, read
oncAgent2, carPat2carItem, addItem
oncAgent2, carPat2carItem, read
oncAgent2, carPat2noteItem, addItem
oncAgent2, carPat2noteItem, read
oncAgent2, carPat2nursingItem, addItem
oncAgent2, carPat2nursingItem, read
oncAgent2, oncPat1HR, addItem
oncAgent2, oncPat1HR, read
oncAgent2, oncPat1noteItem, addItem
oncAgent2, oncPat1noteItem, read
oncAgent2, oncPat1nursingItem, addItem
oncAgent2, oncPat1nursingItem, read
oncAgent2, oncPat1oncItem, addItem
oncAgent2, oncPat1oncItem, read
oncAgent2, oncPat2HR, addItem
oncAgent2, oncPat2HR, read
oncAgent2, oncPat2noteItem, addItem
oncAgent2, oncPat2noteItem, read
oncAgent2, oncPat2nursingItem, addItem
oncAgent2, oncPat2nursingItem, read
oncAgent2, oncPat2oncItem, addItem
oncAgent2, oncPat2oncItem, read
oncDoc1, carPat1HR, addItem
oncDoc1, carPat1HR, read
oncDoc1, carPat1carItem, addItem
oncDoc1, carPat1carItem, read
oncDoc1, carPat1noteItem, addItem
oncDoc1, carPat1noteItem, read
oncDoc1, carPat1nursingItem, addItem
oncDoc1, carPat1nursingItem, read
oncDoc1, carPat2HR, addItem
oncDoc1, carPat2HR, read
oncDoc1, carPat2carItem, addItem
oncDoc1, carPat2carItem, read
oncDoc1, carPat2noteItem, addItem
oncDoc1, carPat2noteItem, read
oncDoc1, carPat2nursingItem, addItem
oncDoc1, carPat2nursingItem, read
oncDoc1, oncPat1HR, read
oncDoc1, oncPat1noteItem, addItem
oncDoc1, oncPat1noteItem, read
oncDoc1, oncPat1nursingItem, addItem
oncDoc1, oncPat1nursingItem, read
oncDoc1, oncPat1oncItem, addItem
oncDoc1, oncPat2HR, read
oncDoc1, oncPat2noteItem, addItem
oncDoc1, oncPat2noteItem, read
oncDoc1, oncPat2nursingItem, addItem
oncDoc1, oncPat2nursingItem, read
oncDoc1, oncPat2oncItem, addItem
oncDoc2, carPat1HR, addItem
oncDoc2, carPat1HR, read
oncDoc2, carPat1carItem, addItem
oncDoc2, carPat1carItem, read
oncDoc2, carPat1noteItem, addItem
oncDoc2, carPat1noteItem, read
oncDoc2, carPat1nursingItem, addItem
oncDoc2, carPat1nursingItem, read
oncDoc2, carPat2HR, addItem
oncDoc2, carPat2HR, read
oncDoc2, carPat2carItem, addItem
oncDoc2, carPat2carItem, read
oncDoc2, carPat2noteItem, addItem
oncDoc2, carPat2noteItem, read
oncDoc2, carPat2nursingItem, addItem
oncDoc2, carPat2nursingItem, read
oncDoc2, oncPat1HR, read
oncDoc2, oncPat1noteItem, addItem
oncDoc2, oncPat1noteItem, read
oncDoc2, oncPat1nursingItem, addItem
oncDoc2, oncPat1nursingItem, read
oncDoc2, oncPat1oncItem, addItem
oncDoc2, oncPat2HR, addItem
oncDoc2, oncPat2HR, read
oncDoc2, oncPat2noteItem, addItem
oncDoc2, oncPat2noteItem, read
oncDoc2, oncPat2nursingItem, addItem
oncDoc2, oncPat2nursingItem, read
oncDoc2, oncPat2oncItem, addItem
oncDoc2, oncPat2oncItem, read
oncDoc3, carPat1HR, addItem
oncDoc3, carPat1HR, read
oncDoc3, carPat1carItem, addItem
oncDoc3, carPat1carItem, read
oncDoc3, carPat1noteItem, addItem
oncDoc3, carPat1noteItem, read
oncDoc3, carPat1nursingItem, addItem
oncDoc3, carPat1nursingItem, read
oncDoc3, carPat2HR, addItem
oncDoc3, carPat2HR, read
oncDoc3, carPat2carItem, addItem
oncDoc3, carPat2carItem, read
oncDoc3, carPat2noteItem, addItem
oncDoc3, carPat2noteItem, read
oncDoc3, carPat2nursingItem, addItem
oncDoc3, carPat2nursingItem, read
oncDoc3, oncPat1HR, addItem
oncDoc3, oncPat1HR, read
oncDoc3, oncPat1noteItem, addItem
oncDoc3, oncPat1noteItem, read
oncDoc3, oncPat1nursingItem, addItem
oncDoc3, oncPat1nursingItem, read
oncDoc3, oncPat1oncItem, addItem
oncDoc3, oncPat1oncItem, read
oncDoc3, oncPat2HR, read
oncDoc3, oncPat2noteItem, addItem
oncDoc3, oncPat2noteItem, read
oncDoc3, oncPat2nursingItem, addItem
oncDoc3, oncPat2nursingItem, read
oncDoc3, oncPat2oncItem, addItem
oncDoc4, carPat1HR, addItem
oncDoc4, carPat1HR, read
oncDoc4, carPat1carItem, addItem
oncDoc4, carPat1carItem, read
oncDoc4, carPat1noteItem, addItem
oncDoc4, carPat1noteItem, read
oncDoc4, carPat1nursingItem, addItem
oncDoc4, carPat1nursingItem, read
oncDoc4, carPat2HR, addItem
oncDoc4, carPat2HR, read
oncDoc4, carPat2carItem, addItem
oncDoc4, carPat2carItem, read
oncDoc4, carPat2noteItem, addItem
oncDoc4, carPat2noteItem, read
oncDoc4, carPat2nursingItem, addItem
oncDoc4, carPat2nursingItem, read
oncDoc4, oncPat1HR, addItem
oncDoc4, oncPat1HR, read
oncDoc4, oncPat1noteItem, addItem
oncDoc4, oncPat1noteItem, read
oncDoc4, oncPat1nursingItem, addItem
oncDoc4, oncPat1nursingItem, read
oncDoc4, oncPat1oncItem, addItem
oncDoc4, oncPat1oncItem, read
oncDoc4, oncPat2HR, read
oncDoc4, oncPat2noteItem, addItem
oncDoc4, oncPat2noteItem, read
oncDoc4, oncPat2nursingItem, addItem
oncDoc4, oncPat2nursingItem, read
oncDoc4, oncPat2oncItem, addItem
oncNurse1, carPat1HR, addItem
oncNurse1, carPat1HR, read
oncNurse1, carPat1carItem, addItem
oncNurse1, carPat1carItem, read
oncNurse1, carPat1noteItem, addItem
oncNurse1, carPat1noteItem, read
oncNurse1, carPat1nursingItem, addItem
oncNurse1, carPat1nursingItem, read
oncNurse1, carPat2HR, addItem
oncNurse1, carPat2HR, read
oncNurse1, carPat2carItem, addItem
oncNurse1, carPat2carItem, read
oncNurse1, carPat2noteItem, addItem
oncNurse1, carPat2noteItem, read
oncNurse1, carPat2nursingItem, addItem
oncNurse1, carPat2nursingItem, read
oncNurse1, oncPat1HR, read
oncNurse1, oncPat1noteItem, addItem
oncNurse1, oncPat1noteItem, read
oncNurse1, oncPat1nursingItem, addItem
oncNurse1, oncPat1nursingItem, read
oncNurse1, oncPat1oncItem, addItem
oncNurse1, oncPat1oncItem, read
oncNurse1, oncPat2HR, read
oncNurse1, oncPat2noteItem, addItem
oncNurse1, oncPat2noteItem, read
oncNurse1, oncPat2nursingItem, addItem
oncNurse1, oncPat2oncItem, addItem
oncNurse1, oncPat2oncItem, read
oncNurse2, carPat1HR, addItem
oncNurse2, carPat1HR, read
oncNurse2, carPat1carItem, addItem
oncNurse2, carPat1carItem, read
oncNurse2, carPat1noteItem, addItem
oncNurse2, carPat1noteItem, read
oncNurse2, carPat1nursingItem, addItem
oncNurse2, carPat1nursingItem, read
oncNurse2, carPat2HR, addItem
oncNurse2, carPat2HR, read
oncNurse2, carPat2carItem, addItem
oncNurse2, carPat2carItem, read
oncNurse2, carPat2noteItem, addItem
oncNurse2, carPat2noteItem, read
oncNurse2, carPat2nursingItem, addItem
oncNurse2, carPat2nursingItem, read
oncNurse2, oncPat1HR, read
oncNurse2, oncPat1noteItem, addItem
oncNurse2, oncPat1noteItem, read
oncNurse2, oncPat1nursingItem, addItem
oncNurse2, oncPat1oncItem, addItem
oncNurse2, oncPat1oncItem, read
oncNurse2, oncPat2HR, read
oncNurse2, oncPat2noteItem, addItem
oncNurse2, oncPat2noteItem, read
oncNurse2, oncPat2nursingItem, addItem
oncNurse2, oncPat2nursingItem, read
oncNurse2, oncPat2oncItem, addItem
oncNurse2, oncPat2oncItem, read
oncPat1, carPat1HR, addItem
oncPat1, carPat1HR, read
oncPat1, carPat1carItem, addItem
oncPat1, carPat1carItem, read
oncPat1, carPat1noteItem, addItem
oncPat1, carPat1noteItem, read
oncPat1, carPat1nursingItem, addItem
oncPat1, carPat1nursingItem, read
oncPat1, carPat2HR, addItem
oncPat1, carPat2HR, read
oncPat1, carPat2carItem, addItem
oncPat1, carPat2carItem, read
oncPat1, carPat2noteItem, addItem
oncPat1, carPat2noteItem, read
oncPat1, carPat2nursingItem, addItem
oncPat1, carPat2nursingItem, read
oncPat1, oncPat1HR, addItem
oncPat1, oncPat1HR, read
oncPat1, oncPat1noteItem, addItem
oncPat1, oncPat1nursingItem, addItem
oncPat1, oncPat1nursingItem, read
oncPat1, oncPat1oncItem, addItem
oncPat1, oncPat1oncItem, read
oncPat1, oncPat2HR, addItem
oncPat1, oncPat2HR, read
oncPat1, oncPat2noteItem, addItem
oncPat1, oncPat2noteItem, read
oncPat1, oncPat2nursingItem, addItem
oncPat1, oncPat2nursingItem, read
oncPat1, oncPat2oncItem, addItem
oncPat1, oncPat2oncItem, read
oncPat2, carPat1HR, addItem
oncPat2, carPat1HR, read
oncPat2, carPat1carItem, addItem
oncPat2, carPat1carItem, read
oncPat2, carPat1noteItem, addItem
oncPat2, carPat1noteItem, read
oncPat2, carPat1nursingItem, addItem
oncPat2, carPat1nursingItem, read
oncPat2, carPat2HR, addItem
oncPat2, carPat2HR, read
oncPat2, carPat2carItem, addItem
oncPat2, carPat2carItem, read
oncPat2, carPat2noteItem, addItem
oncPat2, carPat2noteItem, read
oncPat2, carPat2nursingItem, addItem
oncPat2, carPat2nursingItem, read
oncPat2, oncPat1HR, addItem
oncPat2, oncPat1HR, read
oncPat2, oncPat1noteItem, addItem
oncPat2, oncPat1noteItem, read
oncPat2, oncPat1nursingItem, addItem
oncPat2, oncPat1nursingItem, read
oncPat2, oncPat1oncItem, addItem
oncPat2, oncPat1oncItem, read
oncPat2, oncPat2HR, addItem
oncPat2, oncPat2HR, read
oncPat2, oncPat2noteItem, addItem
oncPat2, oncPat2noteItem, read
oncPat2, oncPat2nursingItem, addItem
oncPat2, oncPat2nursingItem, read
oncPat2, oncPat2oncItem, addItem
oncPat2, oncPat2oncItem, read

Total different lines: 645
