Commong lines / Lines that are correct: 90
admissions1, application1, read
csStu2, cs602gradebook, ]
csStu2, cs602gradebook, cr
csStu2, cs602gradebook, crsTaken
csStu2, cs602gradebook, crsTaught
csStu2, cs602gradebook, readMyScores},
csStu2, cs602gradebook, readScore},
csStu2, csStu1application, checkStatus
csStu2, csStu1trans, read
csStu2, csStu3application, checkStatus
csStu2, csStu3trans, read
csStu2, csStu4application, checkStatus
csStu2, csStu4trans, read
csStu2, csStu5application, checkStatus
csStu2, csStu5trans, read
csStu2, ee101gradebook, ]
csStu2, ee101gradebook, cr
csStu2, ee101gradebook, crsTaken
csStu2, ee101gradebook, crsTaught
csStu2, ee101gradebook, readMyScores},
csStu2, ee101gradebook, readScore},
csStu2, ee601gradebook, ]
csStu2, ee601gradebook, cr
csStu2, ee601gradebook, crsTaken
csStu2, ee601gradebook, crsTaught
csStu2, ee601gradebook, readMyScores},
csStu2, ee601gradebook, readScore},
csStu2, ee602gradebook, ]
csStu2, ee602gradebook, cr
csStu2, ee602gradebook, crsTaken
csStu2, ee602gradebook, crsTaught
csStu2, ee602gradebook, readMyScores},
csStu2, ee602gradebook, readScore},
csStu2, eeStu1application, checkStatus
csStu2, eeStu1trans, read
csStu2, eeStu2application, checkStatus
csStu2, eeStu2trans, read
csStu2, eeStu3application, checkStatus
csStu2, eeStu3trans, read
csStu2, eeStu4application, checkStatus
csStu2, eeStu4trans, read
csStu2, eeStu5application, checkStatus
csStu2, eeStu5trans, read
csStu3, application1, checkStatus
csStu3, application2, checkStatus
csStu3, cs101gradebook, ]
csStu3, cs101gradebook, cr
csStu3, cs101gradebook, crsTaken
csStu3, cs101gradebook, crsTaught
csStu3, cs101gradebook, readMyScores},
csStu3, cs101gradebook, readScore},
csStu3, cs601gradebook, ]
csStu3, cs601gradebook, cr
csStu3, cs601gradebook, crsTaken
csStu3, cs601gradebook, crsTaught
csStu3, cs601gradebook, readMyScores},
csStu3, cs601gradebook, readScore},
csStu3, cs602gradebook, ]
csStu3, cs602gradebook, cr
csStu3, cs602gradebook, crsTaken
csStu3, cs602gradebook, crsTaught
csStu3, cs602gradebook, readMyScores},
csStu3, cs602gradebook, readScore},
csStu3, csStu1application, checkStatus
csStu3, csStu1trans, read
csStu3, csStu2application, checkStatus
csStu3, csStu2trans, read
csStu3, csStu4application, checkStatus
csStu3, csStu4trans, read
csStu3, csStu5application, checkStatus
csStu3, csStu5trans, read
csStu3, ee101gradebook, ]
csStu3, ee101gradebook, cr
csStu3, ee101gradebook, crsTaken
csStu3, ee101gradebook, crsTaught
csStu3, ee101gradebook, readMyScores},
csStu3, ee101gradebook, readScore},
csStu3, ee601gradebook, ]
csStu3, ee601gradebook, cr
csStu3, ee601gradebook, crsTaken
csStu3, ee601gradebook, crsTaught
csStu3, ee601gradebook, readMyScores},
csStu3, ee601gradebook, readScore},
csStu3, ee602gradebook, ]
csStu3, ee602gradebook, cr
csStu3, ee602gradebook, crsTaken
csStu3, ee602gradebook, crsTaught
csStu3, ee602gradebook, readMyScores},
csStu3, ee602gradebook, readScore},
csStu3, eeStu1application, checkStatus
csStu3, eeStu1trans, read
csStu3, eeStu2application, checkStatus
csStu3, eeStu2trans, read
csStu3, eeStu3application, checkStatus
csStu3, eeStu3trans, read
csStu3, eeStu4application, checkStatus
csStu3, eeStu4trans, read
csStu3, eeStu5application, checkStatus
csStu3, eeStu5trans, read
csStu4, application1, checkStatus
csStu4, application2, checkStatus
csStu4, cs101gradebook, ]
csStu4, cs101gradebook, cr
csStu4, cs101gradebook, crsTaken
csStu4, cs101gradebook, crsTaught
csStu4, cs101gradebook, readMyScores},
csStu4, cs101gradebook, readScore},
csStu4, cs601gradebook, ]
csStu4, cs601gradebook, cr
csStu4, cs601gradebook, crsTaken
csStu4, cs601gradebook, crsTaught
csStu4, cs601gradebook, readMyScores},
csStu4, cs601gradebook, readScore},
csStu4, cs602gradebook, ]
csStu4, cs602gradebook, cr
csStu4, cs602gradebook, crsTaken
csStu4, cs602gradebook, crsTaught
csStu4, cs602gradebook, readMyScores},
csStu4, cs602gradebook, readScore},
csStu4, csStu1application, checkStatus
csStu4, csStu1trans, read
csStu4, csStu2application, checkStatus
csStu4, csStu2trans, read
csStu4, csStu3application, checkStatus
csStu4, csStu3trans, read
csStu4, csStu5application, checkStatus
csStu4, csStu5trans, read
csStu4, ee101gradebook, ]
csStu4, ee101gradebook, cr
csStu4, ee101gradebook, crsTaken
csStu4, ee101gradebook, crsTaught
csStu4, ee101gradebook, readMyScores},
csStu4, ee101gradebook, readScore},
csStu4, ee601gradebook, ]
csStu4, ee601gradebook, cr
csStu4, ee601gradebook, crsTaken
csStu4, ee601gradebook, crsTaught
csStu4, ee601gradebook, readMyScores},
csStu4, ee601gradebook, readScore},
csStu4, ee602gradebook, ]
csStu4, ee602gradebook, cr
csStu4, ee602gradebook, crsTaken
csStu4, ee602gradebook, crsTaught
csStu4, ee602gradebook, readMyScores},
csStu4, ee602gradebook, readScore},
csStu4, eeStu1application, checkStatus
csStu4, eeStu1trans, read
csStu4, eeStu2application, checkStatus
csStu4, eeStu2trans, read
csStu4, eeStu3application, checkStatus
csStu4, eeStu3trans, read
csStu4, eeStu4application, checkStatus
csStu4, eeStu4trans, read
csStu4, eeStu5application, checkStatus
csStu4, eeStu5trans, read
csStu5, application1, checkStatus
csStu5, application2, checkStatus
csStu5, cs101gradebook, ]
csStu5, cs101gradebook, cr
csStu5, cs101gradebook, crsTaken
csStu5, cs101gradebook, crsTaught
csStu5, cs101gradebook, readMyScores},
csStu5, cs101gradebook, readScore},
csStu5, cs601gradebook, ]
csStu5, cs601gradebook, cr
csStu5, cs601gradebook, crsTaken
csStu5, cs601gradebook, crsTaught
csStu5, cs601gradebook, readMyScores},
csStu5, cs601gradebook, readScore},
csStu5, cs602gradebook, ]
csStu5, cs602gradebook, cr
csStu5, cs602gradebook, crsTaken
csStu5, cs602gradebook, crsTaught
csStu5, cs602gradebook, readMyScores},
csStu5, cs602gradebook, readScore},
csStu5, csStu1application, checkStatus
csStu5, csStu1trans, read
csStu5, csStu2application, checkStatus
csStu5, csStu2trans, read
csStu5, csStu3application, checkStatus
csStu5, csStu3trans, read
csStu5, csStu4application, checkStatus
csStu5, csStu4trans, read
csStu5, ee101gradebook, ]
csStu5, ee101gradebook, cr
csStu5, ee101gradebook, crsTaken
csStu5, ee101gradebook, crsTaught
csStu5, ee101gradebook, readMyScores},
csStu5, ee101gradebook, readScore},
csStu5, ee601gradebook, ]
csStu5, ee601gradebook, cr
csStu5, ee601gradebook, crsTaken
csStu5, ee601gradebook, crsTaught
csStu5, ee601gradebook, readMyScores},
csStu5, ee601gradebook, readScore},
csStu5, ee602gradebook, ]
csStu5, ee602gradebook, cr
csStu5, ee602gradebook, crsTaken
csStu5, ee602gradebook, crsTaught
csStu5, ee602gradebook, readMyScores},
csStu5, ee602gradebook, readScore},
csStu5, eeStu1application, checkStatus
csStu5, eeStu1trans, read
csStu5, eeStu2application, checkStatus
csStu5, eeStu2trans, read
csStu5, eeStu3application, checkStatus
csStu5, eeStu3trans, read
csStu5, eeStu4application, checkStatus
csStu5, eeStu4trans, read
csStu5, eeStu5application, checkStatus
csStu5, eeStu5trans, read
eeFac1, cs101gradebook, addScore,
eeFac1, cs101gradebook, assignGrade
eeFac1, cs101gradebook, changeScore,
eeFac1, cs101gradebook, readScore
eeFac1, cs601gradebook, addScore,
eeFac1, cs601gradebook, assignGrade
eeFac1, cs601gradebook, changeScore,
eeFac1, cs601gradebook, readScore
eeFac1, cs602gradebook, addScore,
eeFac1, cs602gradebook, assignGrade
eeFac1, cs602gradebook, changeScore,
eeFac1, cs602gradebook, readScore
eeFac1, ee101gradebook, addScore,
eeFac1, ee101gradebook, changeScore,
eeFac1, ee601gradebook, addScore,
eeFac1, ee601gradebook, assignGrade
eeFac1, ee601gradebook, changeScore,
eeFac1, ee601gradebook, readScore
eeFac1, ee602gradebook, addScore,
eeFac1, ee602gradebook, assignGrade
eeFac1, ee602gradebook, changeScore,
eeFac1, ee602gradebook, readScore
eeFac2, cs101gradebook, addScore,
eeFac2, cs101gradebook, assignGrade
eeFac2, cs101gradebook, changeScore,
eeFac2, cs101gradebook, readScore
eeFac2, cs601gradebook, addScore,
eeFac2, cs601gradebook, assignGrade
eeFac2, cs601gradebook, changeScore,
eeFac2, cs601gradebook, readScore
eeFac2, cs602gradebook, addScore,
eeFac2, cs602gradebook, assignGrade
eeFac2, cs602gradebook, changeScore,
eeFac2, cs602gradebook, readScore
eeFac2, ee101gradebook, addScore,
eeFac2, ee101gradebook, assignGrade
eeFac2, ee101gradebook, changeScore,
eeFac2, ee101gradebook, readScore
eeFac2, ee601gradebook, addScore,
eeFac2, ee601gradebook, changeScore,
eeFac2, ee602gradebook, addScore,
eeFac2, ee602gradebook, assignGrade
eeFac2, ee602gradebook, changeScore,
eeFac2, ee602gradebook, readScore
eeStu1, application1, checkStatus
eeStu1, application2, checkStatus
eeStu1, cs101gradebook, ]
eeStu1, cs101gradebook, cr
eeStu1, cs101gradebook, crsTaken
eeStu1, cs101gradebook, crsTaught
eeStu1, cs101gradebook, readMyScores},
eeStu1, cs101gradebook, readScore},
eeStu1, cs601gradebook, ]
eeStu1, cs601gradebook, cr
eeStu1, cs601gradebook, crsTaken
eeStu1, cs601gradebook, crsTaught
eeStu1, cs601gradebook, readMyScores},
eeStu1, cs601gradebook, readScore},
eeStu1, cs602gradebook, ]
eeStu1, cs602gradebook, cr
eeStu1, cs602gradebook, crsTaken
eeStu1, cs602gradebook, crsTaught
eeStu1, cs602gradebook, readMyScores},
eeStu1, cs602gradebook, readScore},
eeStu1, csStu1application, checkStatus
eeStu1, csStu1trans, read
eeStu1, csStu2application, checkStatus
eeStu1, csStu2trans, read
eeStu1, csStu3application, checkStatus
eeStu1, csStu3trans, read
eeStu1, csStu4application, checkStatus
eeStu1, csStu4trans, read
eeStu1, csStu5application, checkStatus
eeStu1, csStu5trans, read
eeStu1, ee101gradebook, ]
eeStu1, ee101gradebook, cr
eeStu1, ee101gradebook, crsTaken
eeStu1, ee101gradebook, crsTaught
eeStu1, ee101gradebook, readMyScores},
eeStu1, ee101gradebook, readScore},
eeStu1, ee601gradebook, ]
eeStu1, ee601gradebook, cr
eeStu1, ee601gradebook, crsTaken
eeStu1, ee601gradebook, crsTaught
eeStu1, ee601gradebook, readMyScores},
eeStu1, ee601gradebook, readScore},
eeStu1, ee602gradebook, ]
eeStu1, ee602gradebook, cr
eeStu1, ee602gradebook, crsTaken
eeStu1, ee602gradebook, crsTaught
eeStu1, ee602gradebook, readMyScores},
eeStu1, ee602gradebook, readScore},
eeStu1, eeStu2application, checkStatus
eeStu1, eeStu2trans, read
eeStu1, eeStu3application, checkStatus
eeStu1, eeStu3trans, read
eeStu1, eeStu4application, checkStatus
eeStu1, eeStu4trans, read
eeStu1, eeStu5application, checkStatus
eeStu1, eeStu5trans, read
eeStu2, application1, checkStatus
eeStu2, application2, checkStatus
eeStu2, cs101gradebook, ]
eeStu2, cs101gradebook, cr
eeStu2, cs101gradebook, crsTaken
eeStu2, cs101gradebook, crsTaught
eeStu2, cs101gradebook, readMyScores},
eeStu2, cs101gradebook, readScore},
eeStu2, cs601gradebook, ]
eeStu2, cs601gradebook, cr
eeStu2, cs601gradebook, crsTaken
eeStu2, cs601gradebook, crsTaught
eeStu2, cs601gradebook, readMyScores},
eeStu2, cs601gradebook, readScore},
eeStu2, cs602gradebook, ]
eeStu2, cs602gradebook, cr
eeStu2, cs602gradebook, crsTaken
eeStu2, cs602gradebook, crsTaught
eeStu2, cs602gradebook, readMyScores},
eeStu2, cs602gradebook, readScore},
eeStu2, csStu1application, checkStatus
eeStu2, csStu1trans, read
eeStu2, csStu2application, checkStatus
eeStu2, csStu2trans, read
eeStu2, csStu3application, checkStatus
eeStu2, csStu3trans, read
eeStu2, csStu4application, checkStatus
eeStu2, csStu4trans, read
eeStu2, csStu5application, checkStatus
eeStu2, csStu5trans, read
eeStu2, ee101gradebook, ]
eeStu2, ee101gradebook, cr
eeStu2, ee101gradebook, crsTaken
eeStu2, ee101gradebook, crsTaught
eeStu2, ee101gradebook, readMyScores},
eeStu2, ee101gradebook, readScore},
eeStu2, ee601gradebook, ]
eeStu2, ee601gradebook, cr
eeStu2, ee601gradebook, crsTaken
eeStu2, ee601gradebook, crsTaught
eeStu2, ee601gradebook, readMyScores},
eeStu2, ee601gradebook, readScore},
eeStu2, ee602gradebook, ]
eeStu2, ee602gradebook, cr
eeStu2, ee602gradebook, crsTaken
eeStu2, ee602gradebook, crsTaught
eeStu2, ee602gradebook, readMyScores},
eeStu2, ee602gradebook, readScore},
eeStu2, eeStu1application, checkStatus
eeStu2, eeStu1trans, read
eeStu2, eeStu3application, checkStatus
eeStu2, eeStu3trans, read
eeStu2, eeStu4application, checkStatus
eeStu2, eeStu4trans, read
eeStu2, eeStu5application, checkStatus
eeStu2, eeStu5trans, read
eeStu3, application1, checkStatus
eeStu3, application2, checkStatus
eeStu3, cs101gradebook, ]
eeStu3, cs101gradebook, cr
eeStu3, cs101gradebook, crsTaken
eeStu3, cs101gradebook, crsTaught
eeStu3, cs101gradebook, readMyScores},
eeStu3, cs101gradebook, readScore},
eeStu3, cs601gradebook, ]
eeStu3, cs601gradebook, cr
eeStu3, cs601gradebook, crsTaken
eeStu3, cs601gradebook, crsTaught
eeStu3, cs601gradebook, readMyScores},
eeStu3, cs601gradebook, readScore},
eeStu3, cs602gradebook, ]
eeStu3, cs602gradebook, cr
eeStu3, cs602gradebook, crsTaken
eeStu3, cs602gradebook, crsTaught
eeStu3, cs602gradebook, readMyScores},
eeStu3, cs602gradebook, readScore},
eeStu3, csStu1application, checkStatus
eeStu3, csStu1trans, read
eeStu3, csStu2application, checkStatus
eeStu3, csStu2trans, read
eeStu3, csStu3application, checkStatus
eeStu3, csStu3trans, read
eeStu3, csStu4application, checkStatus
eeStu3, csStu4trans, read
eeStu3, csStu5application, checkStatus
eeStu3, csStu5trans, read
eeStu3, ee101gradebook, ]
eeStu3, ee101gradebook, cr
eeStu3, ee101gradebook, crsTaken
eeStu3, ee101gradebook, crsTaught
eeStu3, ee101gradebook, readMyScores},
eeStu3, ee101gradebook, readScore},
eeStu3, ee601gradebook, ]
eeStu3, ee601gradebook, cr
eeStu3, ee601gradebook, crsTaken
eeStu3, ee601gradebook, crsTaught
eeStu3, ee601gradebook, readMyScores},
eeStu3, ee601gradebook, readScore},
eeStu3, ee602gradebook, ]
eeStu3, ee602gradebook, cr
eeStu3, ee602gradebook, crsTaken
eeStu3, ee602gradebook, crsTaught
eeStu3, ee602gradebook, readMyScores},
eeStu3, ee602gradebook, readScore},
eeStu3, eeStu1application, checkStatus
eeStu3, eeStu1trans, read
eeStu3, eeStu2application, checkStatus
eeStu3, eeStu2trans, read
eeStu3, eeStu4application, checkStatus
eeStu3, eeStu4trans, read
eeStu3, eeStu5application, checkStatus
eeStu3, eeStu5trans, read
eeStu4, application1, checkStatus
eeStu4, application2, checkStatus
eeStu4, cs101gradebook, ]
eeStu4, cs101gradebook, cr
eeStu4, cs101gradebook, crsTaken
eeStu4, cs101gradebook, crsTaught
eeStu4, cs101gradebook, readMyScores},
eeStu4, cs101gradebook, readScore},
eeStu4, cs601gradebook, ]
eeStu4, cs601gradebook, cr
eeStu4, cs601gradebook, crsTaken
eeStu4, cs601gradebook, crsTaught
eeStu4, cs601gradebook, readMyScores},
eeStu4, cs601gradebook, readScore},
eeStu4, cs602gradebook, ]
eeStu4, cs602gradebook, cr
eeStu4, cs602gradebook, crsTaken
eeStu4, cs602gradebook, crsTaught
eeStu4, cs602gradebook, readMyScores},
eeStu4, cs602gradebook, readScore},
eeStu4, csStu1application, checkStatus
eeStu4, csStu1trans, read
eeStu4, csStu2application, checkStatus
eeStu4, csStu2trans, read
eeStu4, csStu3application, checkStatus
eeStu4, csStu3trans, read
eeStu4, csStu4application, checkStatus
eeStu4, csStu4trans, read
eeStu4, csStu5application, checkStatus
eeStu4, csStu5trans, read
eeStu4, ee101gradebook, ]
eeStu4, ee101gradebook, cr
eeStu4, ee101gradebook, crsTaken
eeStu4, ee101gradebook, crsTaught
eeStu4, ee101gradebook, readMyScores},
eeStu4, ee101gradebook, readScore},
eeStu4, ee601gradebook, ]
eeStu4, ee601gradebook, cr
eeStu4, ee601gradebook, crsTaken
eeStu4, ee601gradebook, crsTaught
eeStu4, ee601gradebook, readMyScores},
eeStu4, ee601gradebook, readScore},
eeStu4, ee602gradebook, ]
eeStu4, ee602gradebook, cr
eeStu4, ee602gradebook, crsTaken
eeStu4, ee602gradebook, crsTaught
eeStu4, ee602gradebook, readMyScores},
eeStu4, ee602gradebook, readScore},
eeStu4, eeStu1application, checkStatus
eeStu4, eeStu1trans, read
eeStu4, eeStu2application, checkStatus
eeStu4, eeStu2trans, read
eeStu4, eeStu3application, checkStatus
eeStu4, eeStu3trans, read
eeStu4, eeStu5application, checkStatus
eeStu4, eeStu5trans, read
eeStu5, application1, checkStatus
eeStu5, application2, checkStatus
eeStu5, cs101gradebook, ]
eeStu5, cs101gradebook, cr
eeStu5, cs101gradebook, crsTaken
eeStu5, cs101gradebook, crsTaught
eeStu5, cs101gradebook, readMyScores},
eeStu5, cs101gradebook, readScore},
eeStu5, cs601gradebook, ]
eeStu5, cs601gradebook, cr
eeStu5, cs601gradebook, crsTaken
eeStu5, cs601gradebook, crsTaught
eeStu5, cs601gradebook, readMyScores},
eeStu5, cs601gradebook, readScore},
eeStu5, cs602gradebook, ]
eeStu5, cs602gradebook, cr
eeStu5, cs602gradebook, crsTaken
eeStu5, cs602gradebook, crsTaught
eeStu5, cs602gradebook, readMyScores},
eeStu5, cs602gradebook, readScore},
eeStu5, csStu1application, checkStatus
eeStu5, csStu1trans, read
eeStu5, csStu2application, checkStatus
eeStu5, csStu2trans, read
