
===============================================================
ITERATION : 0
===============================================================

rule(position [ {helpdeskOperator}; type [ {workOrder}; {}; department = workforce, createdBy = uid, tenant = tenant)
rule(position [ {helpdeskOperator}; type [ {workOrder}; {modify, delete}; createdBy = uid, tenant = telco)
rule(provider [ {eWorkforce}, department [ {helpdesk}; type [ {workOrder}; {modify, delete}; createdBy = uid, tenant = telco)
rule(provider [ {externalHelpdeskSupplier}, department [ {helpdesk}; type [ {workOrder}; {modify, delete}; createdBy = uid, tenant = telco)
rule(position [ {helpdeskOperator}; type [ {workOrder}; {modify, delete}; createdBy = uid, tenant = powerProtection)
rule(provider [ {eWorkforce}, department [ {helpdesk}; type [ {workOrder}; {modify, delete}; createdBy = uid, tenant = powerProtection)
rule(provider [ {externalHelpdeskSupplier}, department [ {helpdesk}; type [ {workOrder}; {modify, delete}; createdBy = uid, tenant = powerProtection)
rule(position [ {technician}, certifications ] {powerProtectionSpecialist}; type [ {workOrder}; {}; requiredCertifications ] {powerProtectionSpecialist}, assignedTechnician = uid, tenant = powerProtection)
rule(position [ {technician}, provider [ {eWorkforce, subcontractor, externalWorkforceSupplier}; type [ {workOrder}; {}; assignedTechnician = uid, assignedTenant = tenant)
rule(position [ {technician}, department [ {workforce}; type [ {workOrder}; {}; requiredCertifications ] certifications, assignedTechnician = uid, tenant = tenant, tenantType [ {primary}; assignedRegion = resourceRegion)
rule(position [ {workforceManager}; type [ {task}; {}; assignedEmployee = uid, department = workforce, assignedRegion = resourceRegion, tenant = tenant)
rule(position [ {workforceManager}, department [ {workforce}; type [ {task}; {}; tenant = assignedTenant, resourceRegion = resourceRegion, managedStaff ] uid)
rule(position [ {workforceManager}; type [ {workOrder}; {view}; tenant = assignedTenant, department = workforce, assignedRegion = resourceRegion, contractStatus [ {active, inactive})
rule(position [ {workforceManager}; type [ {task}; {view}; tenant = assignedTenant, resourceRegion = resourceRegion, department = workforce, assignedEmployee = uid)
rule(position [ {technician}, certifications ] {powerProtectionSpecialist}; type [ {task}; {}; requiredCertifications ] {powerProtectionSpecialist}, assignedTechnician = uid, tenant = powerProtection)
rule(position [ {technician}; type [ {task}; {}; assignedEmployee = uid, certifications ] requiredCertifications, assignedTechnician = uid)
rule(position [ {technician}; type [ {task}; {}; certifications ] requiredCertifications, assignedEmployee = uid, tenant = tenant)
rule(position [ {technician}, department [ {workforce}; type [ {task}; {}; certifications ] requiredCertifications, assignedTechnician = uid)
rule(position [ {technician}, certifications ] {telcoCertifiedTechnician, powerProtectionSpecialist}; type [ {task}; {}; requiredCertifications ] {telcoCertifiedTechnician, powerProtectionSpecialist}, assignedTechnician = uid, tenant = tenant)
rule(department [ {warehouseManager}, department [ {warehouse}; type [ {stockRefillRequest}; {markComplete}; department = warehouse, tenant = tenant)
rule(provider [ {eWorkforce}, department [ {warehouse}; type [ {stockRefillRequest}; {markComplete}; department = warehouse, assignedEmployee = uid)
rule(provider [ {externalWarehouseSupplier}, department [ {warehouse}; type [ {stockRefillRequest}; {markComplete}; assignedEmployee = uid)
rule(provider [ {subcontractor}, department [ {warehouse}; type [ {stockRefillRequest}; {markComplete}; assignedEmployee = uid)
rule(department [ {warehouseManager}, department [ {warehouse}; type [ {resourceRequest}; {complete}; department = warehouse, tenant = tenant)
rule(department [ {warehouseOperator}, department [ {warehouse}; type [ {resourceRequest}; {complete}; department = warehouse, assignedEmployee = uid)
rule(provider [ {eWorkforce}, department [ {warehouse}; type [ {resourceRequest}; {complete}; department = warehouse, assignedEmployee = uid)
rule(provider [ {externalWarehouseSupplier}, department [ {warehouse}; type [ {resourceRequest}; {complete}; department = warehouse, assignedEmployee = uid)
rule(provider [ {subcontractor}, department [ {warehouse}; type [ {resourceRequest}; {complete}; department = warehouse, assignedEmployee = uid)
rule(position [ {applicationAdmin}; type [ {contract}; {createAppointment}; assignedTenant = tenant)
rule(position [ {technician}, department [ {workforce}; type [ {workOrder}; {view}; assignedEmployee = uid, department = workforce, tenant = tenant)
