Commong lines / Lines that are correct: 52
admissions1, application1, setStatus
eeChair, eeStu1trans, read
eeChair, eeStu2trans, read
eeChair, eeStu3trans, read
eeChair, eeStu4trans, read
eeChair, eeStu5trans, read
eeFac1, ee101gradebook, addScore
eeFac1, ee101gradebook, assignGrade
eeFac1, ee101gradebook, readScore
eeFac1, ee101roster, read
eeFac2, ee601gradebook, addScore
eeFac2, ee601gradebook, assignGrade
eeFac2, ee601gradebook, readScore
eeFac2, ee601roster, read
eeStu1, ee101gradebook, readMyScores
eeStu2, ee101gradebook, addScore
eeStu2, ee101gradebook, readScore
eeStu2, ee601gradebook, readMyScores
eeStu2, ee602gradebook, addScore
eeStu2, ee602gradebook, readScore
eeStu3, ee601gradebook, addScore
eeStu3, ee601gradebook, readScore
eeStu3, ee602gradebook, readMyScores
eeStu4, ee601gradebook, readMyScores
eeStu5, ee601gradebook, readMyScores
eeStu5, ee602gradebook, readMyScores
registrar1, cs101roster, read
registrar1, cs101roster, write
registrar1, cs601roster, read
registrar1, cs601roster, write
registrar1, cs602roster, read
registrar1, cs602roster, write
registrar1, csStu1trans, read
registrar1, csStu2trans, read
registrar1, csStu3trans, read
registrar1, csStu4trans, read
registrar1, csStu5trans, read
registrar1, ee101roster, read
registrar1, ee101roster, write
registrar1, ee601roster, read
registrar1, ee601roster, write
registrar1, ee602roster, read
registrar1, ee602roster, write
registrar1, eeStu1trans, read
registrar1, eeStu2trans, read
registrar1, eeStu3trans, read
registrar1, eeStu4trans, read
registrar1, eeStu5trans, read
registrar2, cs101roster, read
registrar2, cs101roster, write
registrar2, cs601roster, read
registrar2, cs601roster, write
registrar2, cs602roster, read
registrar2, cs602roster, write
registrar2, csStu1trans, read
registrar2, csStu2trans, read
registrar2, csStu3trans, read
registrar2, csStu4trans, read
registrar2, csStu5trans, read
registrar2, ee101roster, read
registrar2, ee101roster, write
registrar2, ee601roster, read
registrar2, ee601roster, write
registrar2, ee602roster, read
registrar2, ee602roster, write
registrar2, eeStu1trans, read
registrar2, eeStu2trans, read
registrar2, eeStu3trans, read
registrar2, eeStu4trans, read
registrar2, eeStu5trans, read

Only in LLM ACL (over permissions): 148
admissions1, application1, read,
admissions1, application2, read,
admissions1, csStu1application, read,
admissions1, csStu2application, read,
admissions1, csStu3application, read,
admissions1, csStu4application, read,
admissions1, csStu5application, read,
admissions1, eeStu1application, read,
admissions1, eeStu2application, read,
admissions1, eeStu3application, read,
admissions1, eeStu4application, read,
admissions1, eeStu5application, read,
admissions2, application1, read,
admissions2, application2, read,
admissions2, csStu1application, read,
admissions2, csStu2application, read,
admissions2, csStu3application, read,
admissions2, csStu4application, read,
admissions2, csStu5application, read,
admissions2, eeStu1application, read,
admissions2, eeStu2application, read,
admissions2, eeStu3application, read,
admissions2, eeStu4application, read,
admissions2, eeStu5application, read,
applicant1, application2, checkStatus
applicant1, csStu1application, checkStatus
applicant1, csStu2application, checkStatus
applicant1, csStu3application, checkStatus
applicant1, csStu4application, checkStatus
applicant1, csStu5application, checkStatus
applicant1, eeStu1application, checkStatus
applicant1, eeStu2application, checkStatus
applicant1, eeStu3application, checkStatus
applicant1, eeStu4application, checkStatus
applicant1, eeStu5application, checkStatus
applicant2, application1, checkStatus
applicant2, csStu1application, checkStatus
applicant2, csStu2application, checkStatus
applicant2, csStu3application, checkStatus
applicant2, csStu4application, checkStatus
applicant2, csStu5application, checkStatus
applicant2, eeStu1application, checkStatus
applicant2, eeStu2application, checkStatus
applicant2, eeStu3application, checkStatus
applicant2, eeStu4application, checkStatus
applicant2, eeStu5application, checkStatus
csFac1, cs101gradebook, addScore,
csFac1, cs101gradebook, assignGrade,
csFac1, cs101gradebook, readScore,
csFac1, cs601gradebook, addScore,
csFac1, cs601gradebook, assignGrade,
csFac1, cs601gradebook, changeScore
csFac1, cs601gradebook, readScore,
csFac1, cs601roster, read
csFac1, cs602gradebook, addScore,
csFac1, cs602gradebook, assignGrade,
csFac1, cs602gradebook, changeScore
csFac1, cs602gradebook, readScore,
csFac1, cs602roster, read
csFac1, ee101gradebook, addScore,
csFac1, ee101gradebook, assignGrade,
csFac1, ee101gradebook, changeScore
csFac1, ee101gradebook, readScore,
csFac1, ee101roster, read
csFac1, ee601gradebook, addScore,
csFac1, ee601gradebook, assignGrade,
csFac1, ee601gradebook, changeScore
csFac1, ee601gradebook, readScore,
csFac1, ee601roster, read
csFac1, ee602gradebook, addScore,
csFac1, ee602gradebook, assignGrade,
csFac1, ee602gradebook, changeScore
csFac1, ee602gradebook, readScore,
csFac1, ee602roster, read
csFac2, cs101gradebook, addScore,
csFac2, cs101gradebook, assignGrade,
csFac2, cs101gradebook, changeScore
csFac2, cs101gradebook, readScore,
csFac2, cs101roster, read
csFac2, cs601gradebook, addScore,
csFac2, cs601gradebook, assignGrade,
csFac2, cs601gradebook, readScore,
csFac2, cs602gradebook, addScore,
csFac2, cs602gradebook, assignGrade,
csFac2, cs602gradebook, changeScore
csFac2, cs602gradebook, readScore,
csFac2, cs602roster, read
csFac2, ee101gradebook, addScore,
csFac2, ee101gradebook, assignGrade,
csFac2, ee101gradebook, changeScore
csFac2, ee101gradebook, readScore,
csFac2, ee101roster, read
csFac2, ee601gradebook, addScore,
csFac2, ee601gradebook, assignGrade,
csFac2, ee601gradebook, changeScore
csFac2, ee601gradebook, readScore,
csFac2, ee601roster, read
csFac2, ee602gradebook, addScore,
csFac2, ee602gradebook, assignGrade,
csFac2, ee602gradebook, changeScore
csFac2, ee602gradebook, readScore,
csFac2, ee602roster, read
eeFac1, cs101gradebook, addScore,
eeFac1, cs101gradebook, assignGrade,
eeFac1, cs101gradebook, changeScore
eeFac1, cs101gradebook, readScore,
eeFac1, cs601gradebook, addScore,
eeFac1, cs601gradebook, assignGrade,
eeFac1, cs601gradebook, changeScore
eeFac1, cs601gradebook, readScore,
eeFac1, cs602gradebook, addScore,
eeFac1, cs602gradebook, assignGrade,
eeFac1, cs602gradebook, changeScore
eeFac1, cs602gradebook, readScore,
eeFac1, ee101gradebook, addScore,
eeFac1, ee101gradebook, assignGrade,
eeFac1, ee101gradebook, readScore,
eeFac1, ee601gradebook, addScore,
eeFac1, ee601gradebook, assignGrade,
eeFac1, ee601gradebook, changeScore
eeFac1, ee601gradebook, readScore,
eeFac1, ee602gradebook, addScore,
eeFac1, ee602gradebook, assignGrade,
eeFac1, ee602gradebook, changeScore
eeFac1, ee602gradebook, readScore,
eeFac2, cs101gradebook, addScore,
eeFac2, cs101gradebook, assignGrade,
eeFac2, cs101gradebook, changeScore
eeFac2, cs101gradebook, readScore,
eeFac2, cs601gradebook, addScore,
eeFac2, cs601gradebook, assignGrade,
eeFac2, cs601gradebook, changeScore
eeFac2, cs601gradebook, readScore,
eeFac2, cs602gradebook, addScore,
eeFac2, cs602gradebook, assignGrade,
eeFac2, cs602gradebook, changeScore
eeFac2, cs602gradebook, readScore,
eeFac2, ee101gradebook, addScore,
eeFac2, ee101gradebook, assignGrade,
eeFac2, ee101gradebook, changeScore
eeFac2, ee101gradebook, readScore,
eeFac2, ee601gradebook, addScore,
eeFac2, ee601gradebook, assignGrade,
eeFac2, ee601gradebook, readScore,
eeFac2, ee602gradebook, addScore,
eeFac2, ee602gradebook, assignGrade,
eeFac2, ee602gradebook, changeScore
eeFac2, ee602gradebook, readScore,

Total different lines: 264
