Commong lines / Lines that are correct: 0

Only in ACL 1 (under permissions): 43
anesDoc1, carPat1HR, addItem
oncAgent1, oncPat1oncItem, topics ] note
oncAgent1, oncPat2noteItem, topics ] note
oncAgent1, oncPat2nursingItem, topics ] note
oncAgent1, oncPat2oncItem, topics ] note
oncAgent2, carPat1carItem, topics ] note
oncAgent2, carPat1noteItem, topics ] note
oncAgent2, carPat1nursingItem, topics ] note
oncAgent2, carPat2carItem, topics ] note
oncAgent2, carPat2noteItem, topics ] note
oncAgent2, carPat2nursingItem, topics ] note
oncAgent2, oncPat1noteItem, topics ] note
oncAgent2, oncPat1nursingItem, topics ] note
oncAgent2, oncPat1oncItem, topics ] note
oncAgent2, oncPat2noteItem, topics ] note
oncAgent2, oncPat2nursingItem, topics ] note
oncAgent2, oncPat2oncItem, topics ] note
oncDoc1, carPat1carItem, topics ] note
oncDoc1, carPat1noteItem, topics ] note
oncDoc1, carPat1nursingItem, topics ] note
oncDoc1, carPat2carItem, topics ] note
oncDoc1, carPat2noteItem, topics ] note
oncDoc1, carPat2nursingItem, topics ] note
oncDoc1, oncPat1noteItem, topics ] note
oncDoc1, oncPat1nursingItem, topics ] note
oncDoc1, oncPat1oncItem, topics ] note
oncDoc1, oncPat2noteItem, topics ] note
oncDoc1, oncPat2nursingItem, topics ] note
oncDoc1, oncPat2oncItem, topics ] note
oncDoc2, carPat1carItem, topics ] note
oncDoc2, carPat1noteItem, topics ] note
oncDoc2, carPat1nursingItem, topics ] note
oncDoc2, carPat2carItem, topics ] note
oncDoc2, carPat2noteItem, topics ] note
oncDoc2, carPat2nursingItem, topics ] note
oncDoc2, oncPat1noteItem, topics ] note
oncDoc2, oncPat1nursingItem, topics ] note
oncDoc2, oncPat1oncItem, topics ] note
oncDoc2, oncPat2noteItem, topics ] note
oncDoc2, oncPat2nursingItem, topics ] note
oncDoc2, oncPat2oncItem, topics ] note
oncDoc3, carPat1carItem, topics ] note
oncDoc3, carPat1noteItem, topics ] note
oncDoc3, carPat1nursingItem, topics ] note
oncDoc3, carPat2carItem, topics ] note
oncDoc3, carPat2noteItem, topics ] note
oncDoc3, carPat2nursingItem, topics ] note
oncDoc3, oncPat1noteItem, topics ] note
oncDoc3, oncPat1nursingItem, topics ] note
oncDoc3, oncPat1oncItem, topics ] note
oncDoc3, oncPat2noteItem, topics ] note
oncDoc3, oncPat2nursingItem, topics ] note
oncDoc3, oncPat2oncItem, topics ] note
oncDoc4, carPat1carItem, topics ] note
oncDoc4, carPat1noteItem, topics ] note
oncDoc4, carPat1nursingItem, topics ] note
oncDoc4, carPat2carItem, topics ] note
oncDoc4, carPat2noteItem, topics ] note
oncDoc4, carPat2nursingItem, topics ] note
oncDoc4, oncPat1noteItem, topics ] note
oncDoc4, oncPat1nursingItem, topics ] note
oncDoc4, oncPat1oncItem, topics ] note
oncDoc4, oncPat2noteItem, topics ] note
oncDoc4, oncPat2nursingItem, topics ] note
oncDoc4, oncPat2oncItem, topics ] note
oncNurse1, carPat1carItem, topics ] note
oncNurse1, carPat1noteItem, topics ] note
oncNurse1, carPat1nursingItem, topics ] note
oncNurse1, carPat2carItem, topics ] note
oncNurse1, carPat2noteItem, topics ] note
oncNurse1, carPat2nursingItem, topics ] note
oncNurse1, oncPat1noteItem, topics ] note
oncNurse1, oncPat1nursingItem, topics ] note
oncNurse1, oncPat1oncItem, topics ] note
oncNurse1, oncPat2noteItem, topics ] note
oncNurse1, oncPat2nursingItem, topics ] note
oncNurse1, oncPat2oncItem, topics ] note
oncNurse2, carPat1carItem, topics ] note
oncNurse2, carPat1noteItem, topics ] note
oncNurse2, carPat1nursingItem, topics ] note
oncNurse2, carPat2carItem, topics ] note
oncNurse2, carPat2noteItem, topics ] note
oncNurse2, carPat2nursingItem, topics ] note
oncNurse2, oncPat1noteItem, topics ] note
oncNurse2, oncPat1nursingItem, topics ] note
oncNurse2, oncPat1oncItem, topics ] note
oncNurse2, oncPat2noteItem, topics ] note
oncNurse2, oncPat2nursingItem, topics ] note
oncNurse2, oncPat2oncItem, topics ] note
oncPat1, carPat1carItem, topics ] note
oncPat1, carPat1noteItem, topics ] note
oncPat1, carPat1nursingItem, topics ] note
oncPat1, carPat2carItem, topics ] note
oncPat1, carPat2noteItem, topics ] note
oncPat1, carPat2nursingItem, topics ] note
oncPat1, oncPat1noteItem, topics ] note
oncPat1, oncPat1nursingItem, topics ] note
oncPat1, oncPat1oncItem, topics ] note
oncPat1, oncPat2noteItem, topics ] note
oncPat1, oncPat2nursingItem, topics ] note
oncPat1, oncPat2oncItem, topics ] note
oncPat2, carPat1carItem, topics ] note
oncPat2, carPat1noteItem, topics ] note
oncPat2, carPat1nursingItem, topics ] note
oncPat2, carPat2carItem, topics ] note
oncPat2, carPat2noteItem, topics ] note
oncPat2, carPat2nursingItem, topics ] note
oncPat2, oncPat1noteItem, topics ] note
oncPat2, oncPat1nursingItem, topics ] note
oncPat2, oncPat1oncItem, topics ] note
oncPat2, oncPat2noteItem, topics ] note
oncPat2, oncPat2nursingItem, topics ] note
oncPat2, oncPat2oncItem, topics ] note

Total different lines: 295
